OBJECTID,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Hospitalization_Rate,Testing_Rate
413,Nenets Autonomous Okrug,Russia,1610296229000,68.27557185,57.1686375,815,0,716,99,,1852.3990272064,,,0,64346,RUS,,
53,New Brunswick,Canada,1610296229000,46.5653,-66.4619,765,9,584,172,,98.077803262337,,,1.17647058823529,12404,CAN,,
281,Wakayama,Japan,1610296229000,33.911879,135.505446,763,8,607,148,,82.4924616161387,,,1.04849279161206,39244,JPN,,
284,Yamanashi,Japan,1610296229000,35.612364,138.611489,748,11,546,191,,92.2368167940061,,,1.47058823529412,39247,JPN,,
255,Kochi,Japan,1610296229000,33.422519,133.367307,732,12,635,85,,104.866703245854,,,1.63934426229508,39220,JPN,,
279,Toyama,Japan,1610296229000,36.637464,137.269346,718,26,527,165,,68.8067679793618,,,3.62116991643454,39243,JPN,,
283,Yamaguchi,Japan,1610296229000,34.20119,131.573293,706,3,554,149,,51.9753580851866,,,0.424929178470255,39246,JPN,,
97,Jiangsu,China,1610296229000,32.9711,119.455,687,0,684,3,,0.853310147807726,,,0,15616,CHN,,
240,Ehime,Japan,1610296229000,33.624835,132.856842,662,13,431,218,,49.4319433399417,,,1.96374622356495,39205,JPN,,
264,Niigata,Japan,1610296229000,37.521819,138.918647,661,3,503,155,,29.7331751162563,,,0.453857791225416,39229,JPN,,
578,Bermuda,United Kingdom,1610296229000,32.3078,-64.7505,652,12,551,89,,1047.00271385673,,,1.84049079754601,60,BMU,,
148,Faroe Islands,Denmark,1610296229000,61.8926,-6.9118,646,1,607,38,,1322.00961833623,,,0.154798761609907,234,FRO,,
90,Hebei,China,1610296229000,37.8957,114.9042,598,6,367,225,,0.79142403388036,,,1.00334448160535,15610,CHN,,
83,Chongqing,China,1610296229000,30.0572,107.874,590,6,584,0,,1.90199871050935,,,1.01694915254237,15603,CHN,,
5,South Australia,Australia,1610296229000,-34.9285,138.6007,587,4,568,15,,33.4187304298321,,,0.681431005110733,3605,AUS,,
270,Saga,Japan,1610296229000,33.286977,130.115738,586,3,460,123,,71.9273460159492,,,0.511945392491468,39234,JPN,,
238,Aomori,Japan,1610296229000,40.781541,140.828896,561,8,464,89,,45.0106749916357,,,1.42602495543672,39203,JPN,,
380,Chukotka Autonomous Okrug,Russia,1610296229000,66.0006475,169.4900869,549,4,496,49,,1112.50709248602,,,0.728597449908925,64313,RUS,,
84,Fujian,China,1610296229000,26.0789,117.9874,526,1,497,28,,1.33468662775945,,,0.190114068441065,15604,CHN,,
104,Shaanxi,China,1610296229000,35.1917,108.8701,522,3,498,21,,1.35093167701863,,,0.574712643678161,15622,CHN,,
282,Yamagata,Japan,1610296229000,38.448396,140.102154,433,9,355,69,,40.1794247939529,,,2.07852193995381,39245,JPN,,
251,Iwate,Japan,1610296229000,39.593287,141.361777,429,25,340,64,,34.9685690437686,,,5.82750582750583,39216,JPN,,
252,Kagawa,Japan,1610296229000,34.217292,133.969047,427,4,256,167,,44.6490656634046,,,0.936768149882904,39217,JPN,,
241,Fukui,Japan,1610296229000,35.846614,136.224654,397,12,338,47,,51.6969490986891,,,3.02267002518892,39206,JPN,,
585,Isle of Man,United Kingdom,1610296229000,54.2361,-4.5481,394,25,349,20,,463.354972245743,,,6.34517766497462,833,IMN,,
54,Newfoundland and Labrador,Canada,1610296229000,53.1355,-57.6604,392,4,381,7,,75.1872488563674,,,1.02040816326531,12405,CAN,,
100,Liaoning,China,1610296229000,41.2956,122.6085,387,2,314,71,,0.887818306951136,,,0.516795865633075,15619,CHN,,
